Year,Deaths
2013,59034
2014,60004
2015,61310
2016,62878
2017,64319
2018,65334
2019,65436
2020,71096
2021,74290
1950,14863
1951,14317
1952,14124
1953,14064
1954,14043
1955,14053
1956,14095
1957,14168
1958,14256
1959,14342
1960,14327
1961,14383
1962,14430
1963,14510
1964,14559
1965,14381
1966,14269
1967,14108
1968,14071
1969,14029
1970,13996
1971,13894
1972,13756
1973,13564
1974,14806
1975,23675
1976,22884
1977,24466
1978,27224
1979,26629
1980,21467
1981,21101
1982,20538
1983,20282
1984,19070
1985,19435
1986,19442
1987,18867
1988,19183
1989,14091
1990,14160
1991,14307
1992,13759
1993,13402
1994,13075
1995,13436
1996,13208
1997,13029
1998,13499
1999,15658
2000,9015
2001,8878
2002,8786
2003,8705
2004,8603
2005,8532
2006,8462
2007,8441
2008,8457
2009,8530
2010,8665
2011,8789
2012,8816
2013,8885
2014,8988
2015,9125
2016,9012
2017,8924
2018,8867
2019,8839
2020,8893
2021,9562
1950,68227
1951,69002
1952,69551
1953,70167
1954,70615
1955,71138
1956,71065
1957,71049
1958,71018
1959,70977
1960,71016
1961,71196
1962,71411
1963,71600
1964,71914
1965,72361
1966,72933
1967,73547
1968,74158
1969,75113
1970,74935
1971,74736
1972,74224
1973,73445
1974,72405
1975,71273
1976,70289
1977,69296
1978,68595
1979,68105
1980,67769
1981,67491
1982,67220
1983,66991
1984,65805
1985,64605
1986,63177
1987,61755
1988,60574
1989,59778
1990,59381
1991,60197
1992,60110
1993,60990
1994,61123
1995,61751
1996,62237
1997,62723
1998,63041
1999,63099
2000,63332
2001,63484
2002,63789
2003,64179
2004,64855
2005,65859
2006,67199
2007,68682
2008,70285
2009,71621
2010,72749
2011,73561
2012,74223
2013,74876
2014,75818
2015,77266
2016,79828
2017,81236
2018,83179
2019,85030
2020,132366
2021,119463
1950,675786
1951,669470
1952,639269
1953,630152
1954,611919
1955,598690
1956,597428
1957,592084
1958,588876
1959,582366
1960,577665
1961,575479
1962,570431
1963,565950
1964,561726
1965,558711
1966,562220
1967,571701
1968,576234
1969,588835
1970,595100
1971,598847
1972,601823
1973,608925
1974,599313
1975,594716
1976,589536
1977,584282
1978,577690
1979,572435
1980,564397
1981,562572
1982,553008
1983,541238
1984,530726
1985,520288
1986,511489
1987,498249
1988,485107
1989,475953
1990,468751
1991,459403
1992,461180
1993,457621
1994,456000
1995,450854
1996,448194
1997,445673
1998,449727
1999,453052
2000,455708
2001,457943
2002,461231
2003,479852
2004,484286
2005,490856
2006,496115
2007,504080
2008,510054
2009,517613
2010,525460
2011,530966
2012,539487
2013,556632
2014,556743
2015,569391
2016,564595
2017,558084
2018,571875
2019,589548
2020,628726
2021,691381
1950,48512
1951,49925
1952,48955
1953,49108
1954,49294
1955,49555
1956,49840
1957,50115
1958,50283
1959,50214
1960,50074
1961,49938
1962,49850
1963,50212
1964,50666
1965,51559
1966,52547
1967,53853
1968,55032
1969,55805
1970,55804
1971,54520
1972,53439
1973,51953
1974,51253
1975,51305
1976,52253
1977,53982
1978,56246
1979,59366
1980,71646
1981,70928
1982,63538
1983,61258
1984,55616
1985,51184
1986,50165
1987,46529
1988,43306
1989,47940
1990,42086
1991,39818
1992,38639
1993,37998
1994,37599
1995,37538
1996,36911
1997,36179
1998,36147
1999,35296
2000,35323
2001,36945
2002,36637
2003,38074
2004,38975
2005,40151
2006,40776
2007,41389
2008,41083
2009,41304
2010,41506
2011,42488
2012,43538
2013,44394
2014,44685
2015,44230
2016,43438
2017,43135
2018,43729
2019,46999
2020,53231
2021,54803
1950,5903
1951,6018
1952,6070
1953,6125
1954,6158
1955,6186
1956,6212
1957,6240
1958,6267
1959,6295
1960,6326
1961,6359
1962,6401
1963,6447
1964,6518
1965,6577
1966,6668
1967,6752
1968,6860
1969,11077
1970,11009
1971,8807
1972,6860
1973,6643
1974,7189
1975,8085
1976,10066
1977,6527
1978,6403
1979,6307
1980,5195
1981,5303
1982,5507
1983,5780
1984,6124
1985,6411
1986,6683
1987,6936
1988,7149
1989,7353
1990,7536
1991,7738
1992,7929
1993,8109
1994,8323
1995,8511
1996,8721
1997,8873
1998,9037
1999,9188
2000,9307
2001,9512
2002,9701
2003,9889
2004,10122
2005,10407
2006,10663
2007,10998
2008,11333
2009,11763
2010,12144
2011,12464
2012,12509
2013,12672
2014,12818
2015,12868
2016,12993
2017,13121
2018,13226
2019,13265
2020,14407
2021,14750
1950,25310
1951,24982
1952,24922
1953,24951
1954,24939
1955,25059
1956,25176
1957,25197
1958,25360
1959,25469
1960,25541
1961,25706
1962,25954
1963,26235
1964,26441
1965,26794
1966,27126
1967,27562
1968,27895
1969,28158
1970,28417
1971,28638
1972,28879
1973,29092
1974,29736
1975,30404
1976,30669
1977,30815
1978,31113
1979,31395
1980,31527
1981,31975
1982,32840
1983,33154
1984,33446
1985,33810
1986,33471
1987,33873
1988,33753
1989,34765
1990,32810
1991,32232
1992,26178
1993,25609
1994,25763
1995,25116
1996,26675
1997,25976
1998,34658
1999,44222
2000,26709
2001,24299
2002,24824
2003,24667
2004,25582
2005,25284
2006,24519
2007,24044
2008,23943
2009,23798
2010,23635
2011,23372
2012,23180
2013,23186
2014,22878
2015,22397
2016,22328
2017,22218
2018,21957
2019,22173
2020,22895
2021,24415
1950,13713
1951,13726
1952,13536
1953,13517
1954,13431
1955,13293
1956,13198
1957,13251
1958,13210
1959,13118
1960,12763
1961,13057
1962,13531
1963,13211
1964,12721
1965,13487
1966,13777
1967,13687
1968,14232
1969,15143
1970,15175
1971,15004
1972,15480
1973,15519
1974,15364
1975,16535
1976,17312
1977,17003
1978,17761
1979,18006
1980,18191
1981,18298
1982,17824
1983,18104
1984,19040
1985,19293
1986,17959
1987,18273
1988,18533
1989,18505
1990,19497
1991,19735
1992,20169
1993,21247
1994,22064
1995,20788
1996,19028
1997,18508
1998,19416
1999,18389
2000,18359
2001,18476
2002,18320
2003,18161
2004,17725
2005,17280
2006,17324
2007,17400
2008,16693
2009,16149
2010,15800
2011,15282
2012,15494
2013,15302
2014,15558
2015,15297
2016,15447
2017,15631
2018,15829
2019,15474
2020,16180
2021,18826
1950,5842
1951,5939
1952,6026
1953,6102
1954,6154
1955,6232
1956,6291
1957,6356
1958,6410
1959,6458
1960,6533
1961,6575
1962,6609
1963,6692
1964,6711
1965,6721
1966,6726
1967,6741
1968,6764
1969,6800
1970,6852
1971,6899
1972,6927
1973,6910
1974,6921
1975,6894
1976,6835
1977,6742
1978,6649
1979,6576
1980,6547
1981,6518
1982,6411
1983,6895
1984,6326
1985,6176
1986,6091
1987,6014
1988,5938
1989,6063
1990,6085
1991,6378
1992,6918
1993,7690
1994,8628
1995,9255
1996,10436
1997,11501
1998,12617
1999,13813
2000,15013
2001,16141
2002,17488
2003,18677
2004,19652
2005,20276
2006,19661
2007,19434
2008,19190
2009,19011
2010,17582
2011,16578
2012,15574
2013,14629
2014,13790
2015,12760
2016,11992
2017,11488
2018,10865
2019,10480
2020,11361
2021,13566
1950,493657
1951,497833
1952,501795
1953,502779
1954,505362
1955,506602
1956,508980
1957,642968
1958,635833
1959,501958
1960,507670
1961,509484
1962,515851
1963,519966
1964,528632
1965,540938
1966,607372
1967,565660
1968,580155
1969,599034
1970,617673
1971,634429
1972,686987
1973,702360
1974,783185
1975,803147
1976,744074
1977,765534
1978,774433
1979,765744
1980,760736
1981,752269
1982,782466
1983,1083930
1984,1087913
1985,1077483
1986,1090381
1987,833265
1988,876887
1989,910658
1990,957417
1991,934859
1992,950124
1993,956853
1994,963638
1995,970253
1996,968197
1997,968181
1998,973231
1999,1011162
2000,989714
2001,991425
2002,992414
2003,970241
2004,960005
2005,947564
2006,919841
2007,886257
2008,855809
2009,822752
2010,802949
2011,781842
2012,766385
2013,750579
2014,748079
2015,738626
2016,729424
2017,732113
2018,730182
2019,735123
2020,775334
2021,815212
1950,6473233
1951,6609794
1952,6265135
1953,6220937
1954,6072645
1955,5987151
1956,5899594
1957,5963269
1958,5647571
1959,5816056
1960,5783828
1961,5749292
1962,6023706
1963,6031219
1964,5843514
1965,6058752
1966,6074808
1967,6204646
1968,6427622
1969,6652543
1970,6602177
1971,6675051
1972,6699913
1973,6814598
1974,6818259
1975,7009188
1976,7085837
1977,7039667
1978,7183531
1979,7268744
1980,7422720
1981,7404116
1982,7373734
1983,7562097
1984,7584914
1985,7702883
1986,7423641
1987,7407417
1988,7475880
1989,7527904
1990,7681197
1991,7796555
1992,7935829
1993,8412609
1994,8492472
1995,8553348
1996,8394631
1997,8240385
1998,8193142
1999,8402774
2000,8401888
2001,8364598
2002,8520890
2003,8655471
2004,8381364
2005,8494391
2006,8237212
2007,8187820
2008,8195293
2009,8099043
2010,8128387
2011,7958960
2012,8078292
2013,8033963
2014,7955740
2015,8177599
2016,8009194
2017,8076159
2018,8112356
2019,8020246
2020,9119281
2021,9656398
1950,39
1951,38
1952,38
1953,39
1954,39
1955,39
1956,38
1957,37
1958,37
1959,37
1960,37
1961,37
1962,37
1963,37
1964,37
1965,37
1966,37
1967,36
1968,37
1969,37
1970,37
1971,37
1972,37
1973,37
1974,37
1975,37
1976,37
1977,38
1978,38
1979,39
1980,40
1981,41
1982,42
1983,43
1984,44
1985,44
1986,44
1987,44
1988,44
1989,43
1990,42
1991,41
1992,40
1993,38
1994,36
1995,35
1996,33
1997,31
1998,30
1999,28
2000,27
2001,25
2002,25
2003,24
2004,24
2005,23
2006,23
2007,22
2008,22
2009,22
2010,22
2011,22
2012,22
2013,23
2014,23
2015,24
2016,24
2017,25
2018,26
2019,26
2020,27
2021,28
1950,432
1951,463
1952,415
1953,405
1954,442
1955,378
1956,278
1957,255
1958,256
1959,264
1960,264
1961,258
1962,252
1963,251
1964,255
1965,258
1966,262
1967,266
1968,269
1969,269
1970,273
1971,278
1972,284
1973,281
1974,286
1975,286
1976,295
1977,306
1978,311
1979,314
1980,302
1981,313
1982,331
1983,340
1984,350
1985,345
1986,351
1987,382
1988,419
1989,388
1990,408
1991,454
1992,495
1993,441
1994,415
1995,424
1996,450
1997,398
1998,420
1999,438
2000,415
2001,468
2002,491
2003,418
2004,494
2005,560
2006,463
2007,465
2008,484
2009,469
2010,553
2011,506
2012,482
2013,499
2014,464
2015,493
2016,486
2017,620
2018,617
2019,622
2020,570
2021,597
1950,7812
1951,7191
1952,6695
1953,6253
1954,5829
1955,5366
1956,5061
1957,4767
1958,4536
1959,4429
1960,4316
1961,4210
1962,4101
1963,4012
1964,3904
1965,3821
1966,3823
1967,3869
1968,3850
1969,3952
1970,3956
1971,3995
1972,4056
1973,4329
1974,4226
1975,4294
1976,4380
1977,4410
1978,4457
1979,4456
1980,4638
1981,4757
1982,4854
1983,4811
1984,4744
1985,4669
1986,4738
1987,4834
1988,4833
1989,4853
1990,4839
1991,4854
1992,4819
1993,4823
1994,4795
1995,4784
1996,4794
1997,4860
1998,4930
1999,5054
2000,5396
2001,5544
2002,5971
2003,5924
2004,5973
2005,6047
2006,6119
2007,6310
2008,6438
2009,6474
2010,6476
2011,6500
2012,6610
2013,6822
2014,6985
2015,7428
2016,7284
2017,7123
2018,7243
2019,7340
2020,7458
2021,8218
1950,42538
1951,40327
1952,39025
1953,39855
1954,37941
1955,39567
1956,38672
1957,40659
1958,38754
1959,38800
1960,39808
1961,40591
1962,42875
1963,41939
1964,42460
1965,44446
1966,43522
1967,43746
1968,45043
1969,45893
1970,44114
1971,45784
1972,43878
1973,43353
1974,44626
1975,43848
1976,44776
1977,44011
1978,43683
1979,43693
1980,44344
1981,44326
1982,43380
1983,45316
1984,45054
1985,48140
1986,47121
1987,47865
1988,49017
1989,49030
1990,50055
1991,49220
1992,49757
1993,50912
1994,47939
1995,49182
1996,49090
1997,49114
1998,49210
1999,49359
2000,49361
2001,48476
2002,49412
2003,48960
2004,47556
2005,47902
2006,48027
2007,49056
2008,49106
2009,49890
2010,50864
2011,50572
2012,51582
2013,51376
2014,52403
2015,52187
2016,53896
2017,53627
2018,54386
2019,53997
2020,55208
2021,57283
1950,533995
1951,566424
1952,525413
1953,558275
1954,519916
1955,527292
1956,546968
1957,532248
1958,500507
1959,508689
1960,520826
1961,499963
1962,538654
1963,553908
1964,515775
1965,539894
1966,525576
1967,540479
1968,551975
1969,571883
1970,541997
1971,554164
1972,549726
1973,558625
1974,552097
1975,560204
1976,557885
1977,536462
1978,547422
1979,542240
1980,547419
1981,555382
1982,543604
1983,560199
1984,543080
1985,553196
1986,547931
1987,527988
1988,524888
1989,529352
1990,526560
1991,524406
1992,521492
1993,531976
1994,519707
1995,530979
1996,535766
1997,530579
1998,534376
1999,538102
2000,531207
2001,530533
2002,534900
2003,550965
2004,508305
2005,525879
2006,515558
2007,520425
2008,531678
2009,538147
2010,540813
2011,534724
2012,558599
2013,558509
2014,546921
2015,582205
2016,580585
2017,594684
2018,596919
2019,602700
2020,655662
2021,639714
1950,501
1951,494
1952,483
1953,476
1954,471
1955,463
1956,464
1957,461
1958,454
1959,450
1960,438
1961,446
1962,440
1963,433
1964,422
1965,414
1966,412
1967,401
1968,408
1969,419
1970,417
1971,419
1972,418
1973,421
1974,414
1975,423
1976,432
1977,462
1978,476
1979,481
1980,481
1981,486
1982,490
1983,491
1984,496
1985,508
1986,517
1987,528
1988,543
1989,550
1990,567
1991,571
1992,582
1993,591
1994,598
1995,600
1996,610
1997,621
1998,635
1999,645
2000,676
2001,694
2002,716
2003,741
2004,763
2005,774
2006,779
2007,767
2008,786
2009,796
2010,819
2011,815
2012,840
2013,872
2014,896
2015,935
2016,984
2017,1023
2018,1066
2019,1107
2020,1154
2021,1463
1950,897
1951,900
1952,881
1953,863
1954,851
1955,840
1956,833
1957,831
1958,825
1959,821
1960,821
1961,823
1962,828
1963,837
1964,850
1965,860
1966,868
1967,876
1968,883
1969,891
1970,897
1971,901
1972,902
1973,910
1974,916
1975,916
1976,911
1977,904
1978,886
1979,872
1980,850
1981,831
1982,806
1983,780
1984,754
1985,729
1986,700
1987,697
1988,689
1989,687
1990,693
1991,697
1992,697
1993,692
1994,679
1995,654
1996,627
1997,600
1998,586
1999,567
2000,574
2001,593
2002,620
2003,653
2004,691
2005,731
2006,768
2007,794
2008,800
2009,806
2010,810
2011,811
2012,820
2013,834
2014,858
2015,889
2016,920
2017,953
2018,987
2019,1017
2020,1166
2021,1635
1950,11418
1951,11336
1952,11244
1953,11109
1954,11053
1955,10936
1956,10844
1957,10754
1958,10691
1959,10652
1960,10597
1961,10552
1962,10524
1963,10478
1964,10446
1965,10374
1966,10345
1967,10332
1968,10313
1969,10311
1970,10310
1971,10335
1972,10346
1973,10382
1974,10382
1975,10409
1976,10385
1977,10408
1978,10391
1979,10443
1980,10503
1981,10572
1982,10669
1983,10663
1984,10733
1985,10744
1986,10793
1987,10876
1988,11018
1989,11084
1990,11238
1991,11375
1992,11487
1993,11582
1994,11755
1995,11909
1996,12126
1997,12287
1998,12422
1999,12605
2000,12719
2001,12849
2002,13084
2003,13123
2004,13299
2005,13525
2006,13590
2007,13781
2008,13844
2009,14092
2010,14108
2011,14434
2012,14459
2013,14737
2014,15002
2015,15004
2016,15073
2017,15084
2018,15303
2019,15369
2020,15833
2021,16987
1950,9842
1951,9958
1952,10139
1953,10306
1954,10532
1955,10775
1956,11034
1957,11168
1958,11279
1959,11409
1960,11536
1961,11678
1962,11836
1963,11956
1964,12087
1965,12192
1966,12303
1967,12385
1968,12514
1969,12636
1970,12747
1971,12881
1972,12987
1973,13148
1974,13271
1975,13514
1976,13716
1977,14015
1978,14451
1979,14485
1980,14719
1981,15538
1982,15178
1983,15442
1984,15722
1985,15815
1986,16026
1987,16140
1988,16309
1989,16516
1990,16668
1991,16753
1992,16822
1993,16814
1994,16550
1995,16375
1996,16334
1997,16631
1998,16647
1999,16819
2000,17050
2001,17326
2002,17643
2003,17629
2004,17513
2005,17557
2006,17360
2007,17411
2008,17187
2009,17240
2010,17338
2011,17002
2012,16860
2013,17166
2014,17341
2015,17453
2016,17287
2017,17626
2018,17920
2019,17577
2020,18986
2021,19923
1950,55536
1951,55069
1952,55359
1953,54338
1954,53552
1955,53276
1956,52932
1957,52522
1958,51671
1959,51342
1960,51290
1961,51486
1962,50677
1963,50117
1964,50424
1965,49082
1966,48903
1967,49747
1968,49559
1969,49621
1970,50511
1971,50046
1972,49966
1973,49719
1974,50058
1975,49996
1976,50736
1977,50241
1978,50764
1979,50549
1980,51753
1981,50937
1982,51128
1983,52138
1984,53424
1985,53035
1986,53841
1987,55645
1988,55410
1989,56907
1990,57177
1991,57173
1992,58142
1993,57294
1994,54397
1995,52226
1996,51416
1997,50885
1998,50677
1999,49611
2000,48466
2001,48214
2002,46665
2003,46233
2004,46588
2005,45517
2006,45767
2007,46592
2008,48004
2009,47224
2010,47530
2011,47616
2012,48452
2013,48578
2014,47575
2015,47346
2016,46865
2017,47578
2018,48926
2019,48588
2020,52643
2021,57023
1950,755567
1951,762100
1952,770648
1953,780436
1954,791042
1955,801742
1956,816673
1957,845157
1958,820885
1959,837398
1960,879225
1961,851540
1962,879478
1963,895370
1964,869887
1965,907914
1966,911670
1967,914151
1968,976344
1969,987041
1970,976107
1971,966000
1972,964839
1973,962254
1974,955538
1975,989460
1976,967313
1977,931163
1978,955340
1979,943757
1980,951189
1981,953018
1982,942347
1983,939565
1984,916565
1985,929972
1986,926077
1987,900993
1988,898919
1989,901913
1990,919871
1991,909044
1992,884025
1993,895815
1994,883679
1995,884079
1996,883503
1997,860730
1998,853210
1999,847514
2000,839691
2001,829034
2002,841727
2003,854182
2004,819054
2005,829939
2006,821895
2007,827341
2008,845069
2009,855741
2010,859207
2011,852964
2012,870496
2013,895142
2014,871668
2015,926561
2016,911364
2017,933472
2018,908011
2019,893404
2020,971767
2021,1039440
1950,114495
1951,115622
1952,117489
1953,119020
1954,120564
1955,122244
1956,123935
1957,125671
1958,127820
1959,129238
1960,131212
1961,133191
1962,136970
1963,140170
1964,143064
1965,146189
1966,149699
1967,153283
1968,157459
1969,161232
1970,163373
1971,166497
1972,166431
1973,166876
1974,167581
1975,167687
1976,167502
1977,168632
1978,171202
1979,174513
1980,179403
1981,180937
1982,183143
1983,186803
1984,189608
1985,189115
1986,186415
1987,183718
1988,180899
1989,178210
1990,177795
1991,177920
1992,179253
1993,181114
1994,186693
1995,186417
1996,187795
1997,188670
1998,189926
1999,191179
2000,195201
2001,201290
2002,202098
2003,202796
2004,207457
2005,208014
2006,211009
2007,213856
2008,216526
2009,217166
2010,220690
2011,220643
2012,221321
2013,222789
2014,220435
2015,224502
2016,220425
2017,223297
2018,227745
2019,225241
2020,239693
2021,250471
1950,182
1951,202
1952,197
1953,193
1954,186
1955,192
1956,196
1957,193
1958,191
1959,191
1960,188
1961,191
1962,192
1963,202
1964,196
1965,196
1966,212
1967,199
1968,210
1969,220
1970,218
1971,217
1972,224
1973,222
1974,237
1975,225
1976,235
1977,228
1978,226
1979,227
1980,214
1981,220
1982,226
1983,212
1984,204
1985,199
1986,201
1987,232
1988,193
1989,244
1990,204
1991,206
1992,234
1993,191
1994,188
1995,238
1996,224
1997,184
1998,185
1999,177
2000,185
2001,194
2002,210
2003,227
2004,211
2005,207
2006,232
2007,274
2008,246
2009,230
2010,239
2011,225
2012,203
2013,261
2014,241
2015,280
2016,262
2017,267
2018,268
2019,271
2020,284
2021,378
1950,71635
1951,72161
1952,70022
1953,75490
1954,76329
1955,75348
1956,79950
1957,78716
1958,77089
1959,76123
1960,77640
1961,73385
1962,76517
1963,76733
1964,79867
1965,76504
1966,76839
1967,82474
1968,83956
1969,82474
1970,79732
1971,80600
1972,84547
1973,84954
1974,83616
1975,86152
1976,86329
1977,88503
1978,85479
1979,86197
1980,89568
1981,88752
1982,89098
1983,89547
1984,90091
1985,90168
1986,89680
1987,94521
1988,91280
1989,93187
1990,94524
1991,96605
1992,99922
1993,98721
1994,99541
1995,101651
1996,102507
1997,101215
1998,104555
1999,105345
2000,107513
2001,104957
2002,106079
2003,107990
2004,107635
2005,106968
2006,108465
2007,112227
2008,109898
2009,109672
2010,110125
2011,112115
2012,116966
2013,111679
2014,113476
2015,119604
2016,115838
2017,121620
2018,117025
2019,120923
2020,125443
2021,135773
1950,399
1951,444
1952,430
1953,437
1954,408
1955,384
1956,348
1957,322
1958,312
1959,299
1960,296
1961,310
1962,324
1963,334
1964,330
1965,325
1966,315
1967,326
1968,305
1969,297
1970,292
1971,293
1972,297
1973,314
1974,331
1975,351
1976,352
1977,360
1978,367
1979,373
1980,383
1981,392
1982,405
1983,421
1984,431
1985,436
1986,436
1987,445
1988,444
1989,445
1990,478
1991,466
1992,406
1993,438
1994,450
1995,451
1996,452
1997,458
1998,465
1999,447
2000,436
2001,428
2002,418
2003,406
2004,420
2005,438
2006,429
2007,444
2008,433
2009,443
2010,453
2011,447
2012,440
2013,434
2014,445
2015,449
2016,456
2017,458
2018,476
2019,484
2020,487
2021,498
1950,1290
1951,1197
1952,1165
1953,1174
1954,1158
1955,1138
1956,1109
1957,1111
1958,1134
1959,1113
1960,1081
1961,1032
1962,972
1963,908
1964,867
1965,870
1966,875
1967,875
1968,832
1969,815
1970,799
1971,796
1972,790
1973,781
1974,774
1975,764
1976,763
1977,808
1978,804
1979,799
1980,790
1981,774
1982,774
1983,960
1984,768
1985,769
1986,770
1987,769
1988,756
1989,747
1990,735
1991,724
1992,719
1993,716
1994,719
1995,716
1996,720
1997,724
1998,726
1999,739
2000,768
2001,767
2002,776
2003,792
2004,871
2005,799
2006,805
2007,784
2008,785
2009,781
2010,807
2011,808
2012,845
2013,859
2014,886
2015,902
2016,939
2017,956
2018,970
2019,983
2020,997
2021,1016
1950,4234
1951,4049
1952,3933
1953,3721
1954,3469
1955,3253
1956,3199
1957,3095
1958,2998
1959,2905
1960,2891
1961,2922
1962,2923
1963,2936
1964,2999
1965,2905
1966,2954
1967,2850
1968,2821
1969,2703
1970,2696
1971,2650
1972,2593
1973,2555
1974,2539
1975,2441
1976,2383
1977,2408
1978,2389
1979,2374
1980,2352
1981,2356
1982,2329
1983,2314
1984,2310
1985,2322
1986,2339
1987,2372
1988,2402
1989,2438
1990,2456
1991,2482
1992,2504
1993,2515
1994,2540
1995,2557
1996,2584
1997,2604
1998,2624
1999,2652
2000,2671
2001,2681
2002,2689
2003,2705
2004,2704
2005,2789
2006,2801
2007,2771
2008,2768
2009,2829
2010,2806
2011,2785
2012,2748
2013,2885
2014,2894
2015,2968
2016,2899
2017,3006
2018,3114
2019,3137
2020,3346
2021,4091
1950,513
1951,504
1952,497
1953,489
1954,483
1955,479
1956,476
1957,476
1958,471
1959,469
1960,468
1961,468
1962,475
1963,467
1964,465
1965,480
1966,503
1967,486
1968,478
1969,480
1970,481
1971,484
1972,495
1973,499
1974,511
1975,512
1976,518
1977,504
1978,494
1979,484
1980,497
1981,509
1982,520
1983,534
1984,544
1985,559
1986,574
1987,588
1988,599
1989,612
1990,622
1991,645
1992,657
1993,668
1994,686
1995,698
1996,732
1997,742
1998,750
1999,748
2000,751
2001,721
2002,721
2003,706
2004,706
2005,713
2006,737
2007,760
2008,773
2009,795
2010,821
2011,853
2012,899
2013,930
2014,962
2015,1006
2016,1023
2017,1038
2018,1053
2019,1069
2020,1216
2021,1252
1950,76248
1951,76018
1952,76813
1953,78239
1954,79701
1955,80441
1956,80523
1957,80154
1958,79119
1959,78174
1960,77673
1961,77650
1962,77982
1963,78696
1964,79731
1965,81300
1966,83499
1967,84803
1968,85700
1969,86840
1970,85904
1971,84545
1972,82770
1973,80414
1974,79001
1975,78433
1976,100524
1977,78257
1978,79320
1979,80233
1980,82419
1981,84059
1982,109383
1983,78944
1984,78145
1985,77490
1986,77129
1987,76631
1988,76370
1989,76895
1990,78226
1991,78875
1992,79982
1993,80230
1994,80663
1995,79743
1996,78106
1997,76562
1998,75620
1999,73744
2000,72863
2001,72397
2002,72168
2003,72144
2004,72426
2005,74541
2006,73464
2007,74335
2008,75279
2009,76104
2010,77115
2011,77720
2012,78328
2013,78929
2014,79799
2015,81279
2016,82176
2017,83252
2018,84289
2019,83814
2020,92707
2021,114597
1950,536
1951,528
1952,679
1953,667
1954,672
1955,612
1956,643
1957,644
1958,610
1959,602
1960,568
1961,610
1962,602
1963,593
1964,563
1965,569
1966,585
1967,550
1968,634
1969,635
1970,616
1971,632
1972,596
1973,601
1974,605
1975,613
1976,594
1977,594
1978,571
1979,598
1980,582
1981,598
1982,609
1983,620
1984,574
1985,606
1986,597
1987,552
1988,562
1989,551
1990,562
1991,640
1992,537
1993,607
1994,559
1995,569
1996,564
1997,583
1998,535
1999,524
2000,528
2001,528
2002,532
2003,543
2004,518
2005,511
2006,482
2007,498
2008,462
2009,505
2010,496
2011,484
2012,515
2013,526
2014,510
2015,542
2016,536
2017,588
2018,570
2019,540
2020,517
2021,506
1950,85452
1951,88138
1952,90125
1953,91698
1954,93223
1955,94244
1956,95610
1957,96855
1958,97747
1959,98930
1960,99852
1961,100729
1962,101764
1963,102492
1964,103493
1965,104229
1966,105060
1967,105785
1968,106024
1969,107350
1970,108263
1971,109110
1972,109657
1973,110725
1974,111597
1975,111625
1976,111697
1977,112012
1978,112007
1979,112216
1980,112407
1981,112833
1982,112863
1983,113557
1984,113919
1985,114369
1986,115625
1987,116621
1988,118921
1989,120763
1990,122840
1991,125596
1992,126282
1993,126399
1994,128682
1995,127618
1996,127227
1997,125850
1998,123226
1999,123212
2000,124005
2001,123960
2002,121135
2003,120737
2004,120381
2005,119644
2006,118978
2007,118872
2008,118751
2009,119657
2010,120051
2011,120734
2012,120951
2013,121200
2014,123181
2015,124525
2016,123598
2017,123963
2018,124847
2019,125096
2020,130060
2021,135224
1950,15250
1951,15410
1952,15476
1953,15521
1954,15572
1955,15606
1956,15642
1957,15683
1958,15702
1959,15735
1960,15771
1961,15793
1962,15821
1963,17117
1964,16931
1965,16167
1966,15476
1967,15002
1968,14910
1969,14932
1970,14715
1971,14766
1972,14511
1973,14526
1974,13573
1975,14674
1976,15909
1977,17228
1978,18478
1979,19497
1980,19359
1981,19583
1982,19789
1983,19989
1984,20201
1985,20324
1986,20351
1987,20363
1988,20236
1989,20208
1990,20107
1991,20029
1992,19857
1993,19950
1994,20354
1995,20056
1996,20111
1997,20991
1998,21128
1999,21072
2000,19698
2001,19607
2002,19423
2003,19333
2004,19001
2005,19172
2006,18544
2007,18231
2008,18106
2009,17611
2010,17309
2011,17035
2012,16794
2013,16679
2014,16654
2015,16505
2016,16329
2017,16250
2018,16179
2019,16175
2020,17290
2021,17969
1950,7511
1951,7198
1952,7030
1953,6846
1954,6669
1955,6587
1956,6414
1957,6289
1958,6305
1959,6272
1960,6252
1961,6272
1962,6243
1963,6232
1964,6235
1965,6250
1966,6278
1967,6305
1968,6335
1969,6370
1970,6415
1971,6450
1972,6469
1973,6506
1974,6526
1975,6553
1976,6580
1977,6615
1978,6640
1979,6670
1980,6680
1981,6706
1982,6723
1983,6726
1984,6708
1985,6689
1986,6636
1987,6573
1988,6513
1989,6435
1990,6337
1991,6217
1992,6178
1993,6053
1994,5986
1995,6084
1996,6064
1997,6015
1998,5830
1999,5753
2000,5664
2001,5583
2002,5635
2003,5714
2004,5675
2005,5680
2006,5582
2007,5465
2008,5547
2009,5551
2010,5587
2011,5602
2012,5616
2013,5660
2014,5628
2015,5635
2016,5698
2017,5726
2018,5778
2019,6039
2020,6394
2021,8057
1950,87321
1951,87397
1952,85919
1953,84657
1954,84188
1955,82767
1956,82152
1957,82310
1958,82510
1959,82910
1960,83104
1961,83190
1962,83402
1963,89250
1964,83858
1965,83958
1966,84410
1967,84004
1968,84063
1969,84106
1970,84102
1971,84210
1972,84791
1973,85227
1974,86161
1975,87161
1976,88206
1977,89343
1978,90518
1979,91571
1980,92650
1981,93208
1982,94065
1983,94551
1984,95202
1985,95342
1986,95674
