Year,Births
1950,365303
1951,372040
1952,378290
1953,384933
1954,390412
1955,397156
1956,404134
1957,410977
1958,418266
1959,425334
1960,434057
1961,443319
1962,453468
1963,464225
1964,475452
1965,486406
1966,498801
1967,511245
1968,524167
1969,537318
1970,549695
1971,564040
1972,577071
1973,591855
1974,607606
1975,621494
1976,635188
1977,648307
1978,660606
1979,671213
1980,660892
1981,614273
1982,520603
1983,503887
1984,506571
1985,536861
1986,541017
1987,535214
1988,531795
1989,546142
1990,567256
1991,555610
1992,578891
1993,698469
1994,789282
1995,853355
1996,886917
1997,914412
1998,940233
1999,967977
2000,995813
2001,969246
2002,980458
2003,1063246
2004,1097160
2005,1099366
2006,1136774
2007,1156957
2008,1091824
2009,1128666
2010,1147643
2011,1157518
2012,1217396
2013,1248455
2014,1274665
2015,1315633
2016,1315746
2017,1332116
2018,1355895
2019,1377704
2020,1402265
2021,1440941
1950,10949117
1951,11200481
1952,11448324
1953,11708347
1954,11941297
1955,12190188
1956,12452733
1957,12716803
1958,12982382
1959,13243850
1960,13537719
1961,13863632
1962,14204590
1963,14531456
1964,14863738
1965,15201638
1966,15559453
1967,15920240
1968,16291829
1969,16689225
1970,17086274
1971,17528004
1972,17938848
1973,18341064
1974,18817424
1975,19323948
1976,19818048
1977,20339630
1978,20860824
1979,21447524
1980,21983902
1981,22490282
1982,23060010
1983,23656130
1984,24152568
1985,24672864
1986,25161214
1987,25632090
1988,26012738
1989,26405366
1990,26758178
1991,27202084
1992,27648706
1993,28062924
1994,28448878
1995,28952992
1996,29394952
1997,29763972
1998,30211690
1999,30849084
2000,31447740
2001,32119226
2002,32749884
2003,33422308
2004,34129684
2005,34950130
2006,35734932
2007,36540190
2008,37411100
2009,38121708
2010,38920416
2011,39651460
2012,40261504
2013,40881660
2014,41516550
2015,42127970
2016,42514800
2017,43102420
2018,43713388
2019,44294736
2020,44807256
2021,45368652
1950,47332
1951,49465
1952,51661
1953,54845
1954,57446
1955,59836
1956,62006
1957,64021
1958,66520
1959,68618
1960,69920
1961,71003
1962,71358
1963,71714
1964,71467
1965,70784
1966,70876
1967,72042
1968,73348
1969,74528
1970,74660
1971,75697
1972,76526
1973,77243
1974,78232
1975,79402
1976,79622
1977,79320
1978,79045
1979,78650
1980,78856
1981,79919
1982,81698
1983,82768
1984,83674
1985,83757
1986,83580
1987,83626
1988,83285
1989,82170
1990,81074
1991,78981
1992,77134
1993,74839
1994,73972
1995,72325
1996,69325
1997,65082
1998,61371
1999,58257
2000,54861
2001,51320
2002,47945
2003,45781
2004,43180
2005,40463
2006,37946
2007,36175
2008,35256
2009,34903
2010,34904
2011,35059
2012,35489
2013,35555
2014,35130
2015,33845
2016,32584
2017,31350
2018,30304
2019,29773
2020,29535
2021,29289
1950,461136
1951,469830
1952,478552
1953,488125
1954,498349
1955,508773
1956,518567
1957,528125
1958,539120
1959,546852
1960,556593
1961,566892
1962,575592
1963,584085
1964,591356
1965,597239
1966,601499
1967,611674
1968,622074
1969,634723
1970,646620
1971,657259
1972,667335
1973,678912
1974,692679
1975,706415
1976,733257
1977,759183
1978,774051
1979,792448
1980,818564
1981,833209
1982,844354
1983,848863
1984,851776
1985,855569
1986,842218
1987,831447
1988,816682
1989,806312
1990,785136
1991,785188
1992,789852
1993,777950
1994,760489
1995,704968
1996,659025
1997,623072
1998,598945
1999,597324
2000,601641
2001,606613
2002,614591
2003,640386
2004,668185
2005,698990
2006,730551
2007,770485
2008,810140
2009,847255
2010,877676
2011,907559
2012,946579
2013,959572
2014,985393
2015,1005272
2016,1015743
2017,1018808
2018,1009713
2019,995239
2020,974703
2021,950888
1950,836
1951,859
1952,857
1953,849
1954,844
1955,843
1956,844
1957,853
1958,860
1959,856
1960,838
1961,857
1962,890
1963,921
1964,951
1965,975
1966,992
1967,1002
1968,1010
1969,1018
1970,1021
1971,1025
1972,1020
1973,1024
1974,1032
1975,1038
1976,1043
1977,1053
1978,1068
1979,1088
1980,1111
1981,1149
1982,1191
1983,1233
1984,1295
1985,1360
1986,1426
1987,1495
1988,1576
1989,1671
1990,1755
1991,1814
1992,1838
1993,1862
1994,1828
1995,1771
1996,1724
1997,1697
1998,1696
1999,1700
2000,1700
2001,1680
2002,1657
2003,1638
2004,1614
2005,1562
2006,1486
2007,1409
2008,1352
2009,1302
2010,1252
2011,1208
2012,1163
2013,1114
2014,1070
2015,1030
2016,984
2017,932
2018,879
2019,835
2020,809
2021,788
1950,96
1951,102
1952,91
1953,84
1954,82
1955,95
1956,109
1957,125
1958,142
1959,162
1960,181
1961,202
1962,222
1963,243
1964,266
1965,288
1966,311
1967,331
1968,350
1969,373
1970,397
1971,425
1972,459
1973,488
1974,516
1975,535
1976,492
1977,482
1978,467
1979,455
1980,593
1981,577
1982,655
1983,594
1984,495
1985,541
1986,573
1987,555
1988,603
1989,629
1990,602
1991,655
1992,702
1993,683
1994,680
1995,692
1996,730
1997,756
1998,751
1999,813
2000,728
2001,753
2002,796
2003,736
2004,815
2005,864
2006,901
2007,839
2008,910
2009,851
2010,869
2011,809
2012,753
2013,673
2014,683
2015,714
2016,679
2017,618
2018,593
2019,590
2020,591
2021,567
1950,206734
1951,212367
1952,220087
1953,227487
1954,234953
1955,242057
1956,248990
1957,255631
1958,262081
1959,268423
1960,274530
1961,280357
1962,284781
1963,288977
1964,292818
1965,296460
1966,299577
1967,301982
1968,304204
1969,306574
1970,310099
1971,313120
1972,320440
1973,331059
1974,342446
1975,354050
1976,366291
1977,378492
1978,392347
1979,406982
1980,422720
1981,439963
1982,457776
1983,477363
1984,498181
1985,518573
1986,538187
1987,556592
1988,573751
1989,590351
1990,606245
1991,622044
1992,635466
1993,649683
1994,666066
1995,683414
1996,701823
1997,718872
1998,736639
1999,757141
2000,780036
2001,804851
2002,829886
2003,854768
2004,882792
2005,911861
2006,939039
2007,966438
2008,993966
2009,1022476
2010,1048894
2011,1074349
2012,1102911
2013,1129971
2014,1156171
2015,1180604
2016,1204674
2017,1231485
2018,1257353
2019,1284366
2020,1312910
2021,1338792
1950,263
1951,274
1952,283
1953,288
1954,288
1955,283
1956,275
1957,266
1958,256
1959,247
1960,240
1961,242
1962,246
1963,249
1964,250
1965,248
1966,243
1967,237
1968,230
1969,223
1970,216
1971,208
1972,201
1973,194
1974,187
1975,187
1976,188
1977,187
1978,186
1979,185
1980,182
1981,179
1982,174
1983,167
1984,159
1985,156
1986,153
1987,149
1988,147
1989,167
1990,148
1991,150
1992,150
1993,154
1994,156
1995,162
1996,160
1997,161
1998,163
1999,163
2000,162
2001,184
2002,152
2003,145
2004,146
2005,152
2006,168
2007,173
2008,175
2009,176
2010,175
2011,174
2012,170
2013,168
2014,147
2015,154
2016,157
2017,156
2018,153
2019,151
2020,151
2021,150
1950,1670
1951,1688
1952,1710
1953,1735
1954,1766
1955,1794
1956,1824
1957,1854
1958,1883
1959,1910
1960,1935
1961,1965
1962,1984
1963,2004
1964,2004
1965,1970
1966,1928
1967,1867
1968,1805
1969,1740
1970,1677
1971,1640
1972,1589
1973,1545
1974,1486
1975,1445
1976,1494
1977,1551
1978,1498
1979,1599
1980,1460
1981,1398
1982,1375
1983,1408
1984,1371
1985,1437
1986,1340
1987,1336
1988,1344
1989,1347
1990,1337
1991,1174
1992,1240
1993,1219
1994,1269
1995,1352
1996,1449
1997,1428
1998,1336
1999,1313
2000,1487
2001,1377
2002,1327
2003,1289
2004,1263
2005,1250
2006,1252
2007,1280
2008,1416
2009,1403
2010,1258
2011,1239
2012,1182
2013,1102
2014,1099
2015,1132
2016,1055
2017,1074
2018,991
2019,1058
2020,1127
2021,1129
1950,441694
1951,448917
1952,455086
1953,460605
1954,464652
1955,469409
1956,475723
1957,484589
1958,479980
1959,481736
1960,483766
1961,488525
1962,499960
1963,505203
1964,508430
1965,512563
1966,518039
1967,524399
1968,530868
1969,543810
1970,559284
1971,572168
1972,588873
1973,608718
1974,629184
1975,649449
1976,665529
1977,678020
1978,685890
1979,689353
1980,688689
1981,686127
1982,682817
1983,681476
1984,682092
1985,684456
1986,688564
1987,693696
1988,699091
1989,704483
1990,717716
1991,723317
1992,728033
1993,734214
1994,738942
1995,733108
1996,723804
1997,715945
1998,715365
1999,721366
2000,718129
2001,711677
2002,710765
2003,706544
2004,709873
2005,717321
2006,718419
2007,718146
2008,717468
2009,726291
2010,734558
2011,739376
2012,743784
2013,747375
2014,749562
2015,750290
2016,734548
2017,713799
2018,674273
2019,661385
2020,635978
2021,629391
1950,48545
1951,50741
1952,52890
1953,55395
1954,58188
1955,61171
1956,65436
1957,69094
1958,72285
1959,75485
1960,77424
1961,77371
1962,75497
1963,72510
1964,68785
1965,65572
1966,62652
1967,61163
1968,60514
1969,59774
1970,59856
1971,60694
1972,61512
1973,62723
1974,64441
1975,66386
1976,68471
1977,71571
1978,74010
1979,76715
1980,78834
1981,81108
1982,82992
1983,86136
1984,87947
1985,87597
1986,86222
1987,84878
1988,83319
1989,82361
1990,86145
1991,82940
1992,77621
1993,66815
1994,59868
1995,54703
1996,51477
1997,48622
1998,45399
1999,42867
2000,39951
2001,38353
2002,38062
2003,38688
2004,39508
2005,39919
2006,35754
2007,37998
2008,39111
2009,42504
2010,41164
2011,41348
2012,44225
2013,43892
2014,46014
2015,42325
2016,41759
2017,38968
2018,37912
2019,36521
2020,35016
2021,33700
1950,1743
1951,1770
1952,1790
1953,1807
1954,1822
1955,1835
1956,1844
1957,1852
1958,1856
1959,1855
1960,1850
1961,1842
1962,1803
1963,1757
1964,1705
1965,1649
1966,1591
1967,1533
1968,1477
1969,1423
1970,1373
1971,1327
1972,1287
1973,1279
1974,1286
1975,1302
1976,1322
1977,1344
1978,1362
1979,1372
1980,1374
1981,1367
1982,1360
1983,1366
1984,1365
1985,1357
1986,1341
1987,1317
1988,1284
1989,1241
1990,1218
1991,1185
1992,1143
1993,1154
1994,1140
1995,1220
1996,1270
1997,1328
1998,1258
1999,1234
2000,1276
2001,1242
2002,1190
2003,1168
2004,1113
2005,1163
2006,1245
2007,1251
2008,1245
2009,1221
2010,1220
2011,1239
2012,1298
2013,1370
2014,1402
2015,1295
2016,1290
2017,1215
2018,1045
2019,971
2020,863
2021,764
1950,57489660
1951,57679360
1952,61897332
1953,61345180
1954,63560660
1955,64555772
1956,64003820
1957,67522536
1958,65704844
1959,62560748
1960,62484684
1961,60767390
1962,71585570
1963,79029630
1964,76407280
1965,77108410
1966,76261270
1967,75547130
1968,80158860
1969,80050640
1970,81470760
1971,80518680
1972,80065490
1973,79840640
1974,78346090
1975,75919310
1976,75463810
1977,74125980
1978,74760970
1979,76843784
1980,78592630
1981,80421860
1982,83004910
1983,80859520
1984,82721064
1985,84164810
1986,86628024
1987,88228950
1988,87309770
1989,88270500
1990,89329210
1991,84256350
1992,82619224
1993,81583784
1994,80989810
1995,80302750
1996,79408024
1997,78757200
1998,78107000
1999,77673576
2000,78670590
2001,78047080
2002,77633490
2003,77206700
2004,77313680
2005,77046530
2006,77192220
2007,77844700
2008,78388140
2009,78794504
2010,78542770
2011,78457890
2012,79926264
2013,78750490
2014,78329550
2015,76786390
2016,77332740
2017,76590580
2018,73399530
2019,71723360
2020,68800000
2021,67226690
1950,188822
1951,192043
1952,200743
1953,201535
1954,201038
1955,206044
1956,210230
1957,217522
1958,219887
1959,223528
1960,227494
1961,237238
1962,234039
1963,232972
1964,226053
1965,220290
1966,221622
1967,227031
1968,238183
1969,247984
1970,256420
1971,278561
1972,272452
1973,255131
1974,244743
1975,232821
1976,227296
1977,226296
1978,224175
1979,223035
1980,225300
1981,234570
1982,239244
1983,242086
1984,235086
1985,245586
1986,242565
1987,242941
1988,245113
1989,249745
1990,261015
1991,257538
1992,263338
1993,260342
1994,258028
1995,255455
1996,252826
1997,250493
1998,248727
1999,248005
2000,248574
2001,245871
2002,249653
2003,249982
2004,253295
2005,262616
2006,269661
2007,288358
2008,297654
2009,297485
2010,300113
2011,299948
2012,306357
2013,305523
2014,299548
2015,305209
2016,309448
2017,311698
2018,320272
2019,305145
2020,296417
2021,298496
1950,107141
1951,102752
1952,103064
1953,103183
1954,104440
1955,109124
1956,115884
1957,118992
1958,120960
1959,125293
1960,126311
1961,131548
1962,133262
1963,134917
1964,133926
1965,129965
1966,128435
1967,127213
1968,126040
1969,121064
1970,112265
1971,108064
1972,103486
1973,97808
1974,97375
1975,93786
1976,87494
1977,85451
1978,85128
1979,86422
1980,90628
1981,93686
1982,94758
1983,90388
1984,89132
1985,87467
1986,86881
1987,86708
1988,87801
1989,88236
1990,89858
1991,93540
1992,95200
1993,94715
1994,92183
1995,89291
1996,88759
1997,84075
1998,81119
1999,78059
2000,77772
2001,75404
2002,77477
2003,76515
2004,78187
2005,77691
2006,77517
2007,76004
2008,77176
2009,76298
2010,78061
2011,77842
2012,78392
2013,78867
2014,80985
2015,83521
2016,86827
2017,87092
2018,85281
2019,84744
2020,83345
2021,84647
1950,118073
1951,123394
1952,129897
1953,137107
1954,145086
1955,153713
1956,162949
1957,172216
1958,181493
1959,189931
1960,197518
1961,203247
1962,205806
1963,206656
1964,203923
1965,198569
1966,193511
1967,184017
1968,178746
1969,173741
1970,170027
1971,167017
1972,163866
1973,161685
1974,162480
1975,162642
1976,162876
1977,163736
1978,166383
1979,170763
1980,177045
1981,183812
1982,190691
1983,198015
1984,205544
1985,211263
1986,214433
1987,222084
1988,223529
1989,218760
1990,211224
1991,207572
1992,200375
1993,191930
1994,183380
1995,174442
1996,164981
1997,156355
1998,149144
1999,144671
2000,140560
2001,137188
2002,136473
2003,139585
2004,145422
2005,150285
2006,157359
2007,165562
2008,173520
2009,180053
2010,183642
2011,189318
2012,192733
2013,193204
2014,191050
2015,183781
2016,171882
2017,148053
2018,142871
2019,147022
2020,131920
2021,127085
1950,3191
1951,3166
1952,3207
1953,3247
1954,3322
1955,3430
1956,3553
1957,3672
1958,3818
1959,3970
1960,4150
1961,4361
1962,4488
1963,4618
1964,4734
1965,4831
1966,4921
1967,5047
1968,5149
1969,5231
1970,5290
1971,5359
1972,5414
1973,5359
1974,5215
1975,4981
1976,5094
1977,5196
1978,5218
1979,5281
1980,5336
1981,5442
1982,5569
1983,5667
1984,5776
1985,5873
1986,5979
1987,6029
1988,6081
1989,6258
1990,6525
1991,6851
1992,7456
1993,7372
1994,6777
1995,6893
1996,6540
1997,6686
1998,6539
1999,5997
2000,5912
2001,5934
2002,5724
2003,5547
2004,5617
2005,5998
2006,5259
2007,5487
2008,5931
2009,6018
2010,5526
2011,5309
2012,5385
2013,4713
2014,5277
2015,5023
2016,4819
2017,4643
2018,4643
2019,4641
2020,4670
2021,4666
1950,5567
1951,5696
1952,5844
1953,6014
1954,6192
1955,6371
1956,6578
1957,6789
1958,7070
1959,7307
1960,7503
1961,7718
1962,7923
1963,8112
1964,8321
1965,8461
1966,8483
1967,8471
1968,8439
1969,8412
1970,8414
1971,8398
1972,8540
1973,8769
1974,9008
1975,9284
1976,9577
1977,9883
1978,10166
1979,10452
1980,10696
1981,10917
1982,11282
1983,11695
1984,12128
1985,12731
1986,13180
1987,13439
1988,13650
1989,14066
1990,14092
1991,14025
1992,14148
1993,14137
1994,13923
1995,13813
1996,13772
1997,13956
1998,14231
1999,14642
2000,14689
2001,14644
2002,15286
2003,15968
2004,16673
2005,17430
2006,17660
2007,17760
2008,18126
2009,18558
2010,19378
2011,19264
2012,19459
2013,19802
2014,20627
2015,21277
2016,21178
2017,20921
2018,20574
2019,19828
2020,18949
2021,17501
1950,1848454
1951,1907469
1952,1959943
1953,2015793
1954,2079008
1955,2139731
1956,2197771
1957,2262428
1958,2329274
1959,2404639
1960,2492613
1961,2573805
1962,2649956
1963,2703938
1964,2760151
1965,2816218
1966,2880541
1967,2966218
1968,3045861
1969,3134240
1970,3209314
1971,3261908
1972,3300349
1973,3348576
1974,3413609
1975,3461322
1976,3540279
1977,3609838
1978,3660549
1979,3734810
1980,3792691
1981,3859042
1982,3922438
1983,3898949
1984,3913704
1985,3913016
1986,3879737
1987,3857924
1988,3803080
1989,3800659
1990,3749741
1991,3659954
1992,3604170
1993,3578611
1994,3626561
1995,3592771
1996,3596503
1997,3692440
1998,3710628
1999,3723175
2000,3747294
2001,3756397
2002,3757983
2003,3736470
2004,3696847
2005,3603063
2006,3529412
2007,3466895
2008,3379263
2009,3274543
2010,3176782
2011,3092771
2012,3061928
2013,3067200
2014,3049016
2015,3026354
2016,3036914
2017,2993715
2018,3025083
2019,3040527
2020,3022909
2021,3019672
1950,7326
1951,7412
1952,7430
1953,7432
1954,7427
1955,7415
1956,7384
1957,7324
1958,7274
1959,7228
1960,7184
1961,7110
1962,6882
1963,6631
1964,6357
1965,6076
1966,5821
1967,5548
1968,5308
1969,5106
1970,4944
1971,4812
1972,4746
1973,4706
1974,4665
1975,4628
1976,4580
1977,4570
1978,4647
1979,4667
1980,4681
1981,4678
1982,4651
1983,4587
1984,4514
1985,4429
1986,4336
1987,4256
1988,4184
1989,4115
1990,4054
1991,4007
1992,3975
1993,3942
1994,3905
1995,3865
1996,3824
1997,3786
1998,3750
1999,3722
2000,3698
2001,3669
2002,3670
2003,3660
2004,3638
2005,3604
2006,3564
2007,3513
2008,3454
2009,3391
2010,3327
2011,3263
2012,3205
2013,3154
2014,3114
2015,3085
2016,3068
2017,3058
2018,3053
2019,3050
2020,3048
2021,3046
1950,169536
1951,174510
1952,181168
1953,186916
1954,192106
1955,196496
1956,200316
1957,203265
1958,205334
1959,205877
1960,205048
1961,202857
1962,196116
1963,184113
1964,168378
1965,158474
1966,152359
1967,149601
1968,147414
1969,145385
1970,149444
1971,151707
1972,150654
1973,148244
1974,151019
1975,149552
1976,151971
1977,154355
1978,156779
1979,158369
1980,160474
1981,162134
1982,166392
1983,171286
1984,172296
1985,170145
1986,177560
1987,168663
1988,168097
1989,159004
1990,148091
1991,137890
1992,133107
1993,122567
1994,115035
1995,105801
1996,100634
1997,94438
1998,97306
1999,98061
2000,98533
2001,96506
2002,94055
2003,93851
2004,94454
2005,95244
2006,98274
2007,104347
2008,108282
2009,114506
2010,112104
2011,112930
2012,118860
2013,121519
2014,121732
2015,121637
2016,118469
2017,104281
2018,95501
2019,93218
2020,91163
2021,88853
1950,144205
1951,141291
1952,144181
1953,145764
1954,147996
1955,148202
1956,149217
1957,152019
1958,154487
1959,157576
1960,154789
1961,158822
1962,155547
1963,158932
1964,160299
1965,154745
1966,149880
1967,144824
1968,140083
1969,140555
1970,141467
1971,140965
1972,135581
1973,128873
1974,123172
1975,118953
1976,119688
1977,120050
1978,120752
1979,122042
1980,122654
1981,122866
1982,120587
1983,117737
1984,116138
1985,115011
1986,117575
1987,117969
1988,119782
1989,120828
1990,123472
1991,125359
1992,124108
1993,119887
1994,115701
1995,114634
1996,115441
1997,115236
1998,113567
1999,113865
2000,115979
2001,115312
2002,113272
2003,114030
2004,117258
2005,119858
2006,122679
2007,124109
2008,126866
2009,126685
2010,128589
2011,126480
2012,125850
2013,123860
2014,123414
2015,121285
2016,121005
2017,119292
2018,118034
2019,116136
2020,114894
2021,116448
1950,3695
1951,3746
1952,3789
1953,3830
1954,3869
1955,3904
1956,3942
1957,3980
1958,4019
1959,4064
1960,4114
1961,4140
1962,4162
1963,4180
1964,4210
1965,4249
1966,4299
1967,4363
1968,4448
1969,4556
1970,4689
1971,4823
1972,4957
1973,5072
1974,5189
1975,5295
1976,5471
1977,5629
1978,5775
1979,5888
1980,5994
1981,6107
1982,6287
1983,6298
1984,6254
1985,6229
1986,6279
1987,6314
1988,6433
1989,6599
1990,6708
1991,6609
1992,6557
1993,6534
1994,6425
1995,6563
1996,6615
1997,6872
1998,7012
1999,7172
2000,7281
2001,7377
2002,7442
2003,7370
2004,7369
2005,7445
2006,7314
2007,7272
2008,7311
2009,7274
2010,7237
2011,7408
2012,7544
2013,7683
2014,7770
2015,7798
2016,7832
2017,7905
2018,8017
2019,7333
2020,7060
2021,7186
1950,92160
1951,93142
1952,94642
1953,96335
1954,98176
1955,100270
1956,102545
1957,105149
1958,107739
1959,110515
1960,113419
1961,117455
1962,120330
1963,123218
1964,126061
1965,128725
1966,131169
1967,133292
1968,135918
1969,138504
1970,141295
1971,144479
1972,147599
1973,150332
1974,153444
1975,156874
1976,160500
1977,164337
1978,167779
1979,173758
1980,180332
1981,186445
1982,191286
1983,195483
1984,200872
1985,205986
1986,211451
1987,217070
1988,222500
1989,226642
1990,232933
1991,238944
1992,244127
1993,250896
1994,270247
1995,267074
1996,269966
1997,274976
1998,280484
1999,286638
2000,291591
2001,298375
2002,306563
2003,317134
2004,325479
2005,332970
2006,343944
2007,349619
2008,355330
2009,363609
2010,371512
2011,381302
2012,391846
2013,403500
2014,416071
2015,426663
2016,438452
2017,448571
2018,455978
2019,463053
2020,469278
2021,475832
1950,1120
1951,1111
1952,1103
1953,1097
1954,1090
1955,1085
1956,1083
1957,1081
1958,1090
1959,1081
1960,1079
1961,1073
1962,1085
1963,1121
1964,1076
1965,1058
1966,1006
1967,975
1968,961
1969,952
1970,949
1971,946
1972,925
1973,903
1974,869
1975,823
1976,835
1977,764
1978,724
1979,776
1980,778
1981,751
1982,776
1983,870
1984,813
1985,875
1986,867
1987,882
1988,915
1989,898
1990,875
1991,894
1992,875
1993,856
1994,843
1995,831
1996,829
1997,818
1998,861
1999,858
2000,834
2001,877
2002,834
2003,820
2004,798
2005,759
2006,763
2007,836
2008,790
2009,787
2010,755
2011,678
2012,672
2013,675
2014,598
2015,601
2016,595
2017,570
2018,520
2019,517
2020,517
2021,497
1950,8344
1951,8534
1952,8741
1953,8959
1954,9191
1955,9424
1956,9672
1957,9918
1958,10171
1959,10435
1960,10725
1961,11018
1962,11324
1963,11669
1964,12014
1965,12366
1966,12714
1967,13061
1968,13406
1969,13753
1970,14098
1971,14447
1972,14809
1973,15173
1974,15527
1975,15934
1976,16344
1977,16753
1978,17156
1979,17549
1980,17920
1981,18272
1982,18608
1983,18929
1984,19243
1985,19530
1986,19869
1987,20122
1988,20347
1989,20555
1990,20674
1991,20692
1992,20332
1993,18078
1994,17475
1995,16892
1996,16515
1997,16014
1998,15645
1999,15249
2000,14940
2001,14632
2002,14411
2003,14135
2004,14531
2005,14575
2006,14374
2007,14380
2008,14259
2009,13974
2010,13800
2011,13558
2012,13378
2013,13285
2014,13073
2015,12761
2016,12059
2017,11271
2018,10503
2019,9873
2020,9770
2021,9703
1950,134355
1951,136366
1952,138697
1953,141383
1954,144212
1955,147140
1956,150350
1957,153676
1958,158757
1959,161643
1960,164555
1961,167617
1962,170559
1963,173388
1964,176204
1965,179016
1966,181855
1967,185056
1968,188351
1969,191446
1970,194456
1971,197920
1972,200801
1973,204208
1974,207588
1975,210468
1976,214298
1977,217852
1978,221104
1979,224071
1980,226973
1981,229741
1982,232119
1983,234552
1984,237382
1985,240702
1986,243944
1987,247584
1988,250194
1989,252499
1990,254743
1991,255894
1992,256608
1993,256254
1994,254945
1995,254499
1996,255027
1997,253619
1998,254750
1999,256767
2000,255609
2001,254327
2002,254547
2003,255467
2004,256008
2005,257377
2006,261924
2007,262274
2008,262479
2009,262835
2010,263411
2011,263576
2012,263698
2013,263801
2014,263668
2015,263405
2016,263168
2017,262967
2018,262815
2019,263006
2020,263322
2021,263820
1950,226
1951,222
1952,223
1953,223
1954,223
1955,224
1956,218
1957,213
1958,208
1959,205
1960,205
1961,210
1962,216
1963,222
1964,226
1965,229
1966,229
1967,224
1968,219
1969,215
1970,212
1971,210
1972,208
1973,208
1974,212
1975,218
1976,224
1977,230
1978,234
1979,238
1980,242
1981,246
1982,250
1983,252
1984,252
1985,252
1986,250
1987,247
1988,243
1989,238
1990,233
1991,229
1992,223
1993,221
1994,220
1995,221
1996,220
1997,218
1998,214
1999,209
2000,204
2001,197
2002,195
2003,198
2004,201
2005,205
2006,209
2007,212
2008,216
2009,219
2010,222
2011,224
2012,231
2013,239
2014,247
2015,256
2016,263
2017,270
2018,276
2019,280
2020,284
2021,286
1950,101781
1951,103336
1952,106840
1953,108704
1954,109935
1955,108843
1956,107724
1957,105848
1958,106034
1959,105983
1960,105766
1961,104848
1962,103154
1963,101020
1964,98395
1965,96000
1966,92868
1967,89933
1968,87524
1969,85808
1970,83990
1971,83447
1972,82541
1973,80780
1974,79252
1975,77888
1976,76436
1977,74522
1978,73118
1979,72395
1980,73558
1981,76116
1982,78054
1983,78446
1984,77893
1985,76384
1986,74537
1987,72887
1988,71188
1989,68778
1990,67178
1991,66603
1992,64755
1993,50469
1994,44349
1995,39434
1996,42885
1997,49295
1998,48368
1999,43683
2000,42028
2001,41129
2002,41639
2003,41385
2004,41110
2005,39408
2006,38221
2007,39581
2008,39120
2009,38540
2010,36491
2011,33512
2012,34147
2013,32532
2014,31463
2015,31311
2016,31308
2017,31166
2018,30959
2019,29754
2020,28685
2021,27646
1950,18796
1951,19312
1952,19874
1953,20568
1954,21258
1955,21874
1956,22488
1957,23091
1958,23520
1959,23954
1960,24256
1961,24530
1962,24823
1963,25457
1964,26101
1965,26562
1966,26691
1967,26793
1968,26966
1969,27120
1970,27359
1971,27723
1972,28660
1973,30077
1974,31767
1975,33507
1976,35316
1977,36879
1978,38530
1979,40063
1980,41514
1981,42756
1982,43471
1983,43924
1984,44565
1985,45283
1986,45944
1987,46045
1988,45988
1989,45879
1990,46010
1991,46197
1992,47017
1993,47861
1994,48369
1995,47790
1996,47125
1997,47028
1998,47854
1999,48749
2000,49908
2001,50830
2002,51051
2003,51413
2004,52256
2005,53708
2006,55173
2007,56122
2008,56959
2009,57676
2010,58309
2011,58877
2012,59622
2013,60080
2014,60500
2015,60853
2016,61432
2017,61614
2018,62044
2019,62174
2020,61583
2021,60999
1950,2504882
1951,2576616
1952,2645659
1953,2715617
1954,2786527
1955,2856791
1956,2927550
1957,2999904
1958,3070730
1959,3139942
1960,3205265
1961,3272231
1962,3325058
1963,3370877
1964,3392467
1965,3393731
1966,3394083
1967,3383691
1968,3375598
1969,3397154
1970,3433410
1971,3466644
1972,3505837
1973,3551780
1974,3569444
1975,3627405
1976,3692372
1977,3756437
1978,3820013
1979,3877629
1980,3931964
1981,3975385
1982,3997827
1983,4005389
1984,3990656
1985,3965476
1986,3922677
1987,3894365
1988,3837396
1989,3797734
1990,3743708
1991,3702867
1992,3644158
1993,3647974
1994,3636014
1995,3649910
1996,3627362
1997,3620076
1998,3602190
1999,3546785
2000,3489128
2001,3433869
2002,3351520
2003,3259436
2004,3257137
2005,3238499
2006,3182010
2007,3123429
2008,3071834
2009,3057083
2010,3041789
2011,3033630
2012,2986828
2013,2962857
2014,3001591
2015,3021946
2016,2905301
2017,2952133
2018,2969862
2019,2886359
2020,2787294
2021,2760958
1950,272
1951,275
1952,276
1953,277
1954,280
1955,283
1956,281
1957,278
1958,273
1959,265
1960,256
1961,249
1962,244
1963,240
1964,236
1965,232
1966,229
1967,228
1968,226
1969,223
1970,219
1971,221
1972,230
1973,238
1974,246
1975,254
1976,261
1977,267
1978,272
1979,277
1980,276
1981,242
1982,242
1983,256
1984,226
1985,230
1986,210
1987,223
1988,214
1989,218
1990,237
1991,259
1992,258
1993,279
1994,255
1995,266
1996,280
1997,316
1998,236
1999,280
2000,293
2001,238
2002,205
2003,228
2004,277
2005,260
2006,250
2007,278
2008,280
2009,276
2010,271
2011,284
2012,255
2013,248
2014,278
2015,268
2016,229
2017,205
2018,215
2019,222
2020,229
2021,237
1950,2287
1951,2478
1952,2576
1953,2686
1954,2808
1955,2944
1956,3089
1957,3244
1958,3405
1959,3567
1960,3723
1961,3844
1962,3909
1963,3966
1964,4018
1965,4077
1966,4156
1967,4261
1968,4402
1969,4577
1970,4777
1971,4987
1972,5153
1973,5275
1974,5388
1975,5485
1976,5570
1977,5649
1978,5738
1979,5828
1980,5928
1981,6035
1982,6162
1983,6306
1984,6483
1985,6684
